Mnemonic:,FLBR.IUSA,FYPQ.IUSA,FGDP.IUSA,FXHOFHOPIQ.IUSA
Description:,"Baseline Scenario (May 2020): Household Survey: Unemployment Rate, (%, SA)","Baseline Scenario (May 2020): Income: Personal - Total, (Mil. USD, SAAR)","Baseline Scenario (May 2020): NIPA: Gross Domestic Product, (Mil. USD, SAAR)","Baseline Scenario (May 2020): FHFA All Transactions Home Price Index, (Index 1980Q1=100, NSA)"
Source:,U.S. Bureau of Labor Statistics (BLS): Current Population Survey (CPS); Moody's Analytics Forecasted,U.S. Bureau of Economic Analysis (BEA); Moody's Analytics Forecasted,U.S. Bureau of Economic Analysis (BEA); Moody's Analytics Forecasted,U.S. Federal Housing Finance Agency (FHFA); Freddie Mac; Fannie Mae; Moody's Analytics Forecasted
Native Frequency:,QUARTERLY,QUARTERLY,QUARTERLY,QUARTERLY
Geography:,United States,United States,United States,United States
2045-06-30,4.74,51855607.76,57109202.07,1005.24
2045-09-30,4.74,52308326.04,57611619.07,1012.37
2045-12-31,4.76,52765713.95,58120006.64,1018
2046-03-31,4.76,53223786.98,58632174,1025.61
2046-06-30,4.77,53684304.67,59149344.23,1033.33
2046-09-30,4.78,54149894.45,59667403.55,1040.27
2046-12-31,4.79,54621128.86,60190313.63,1045.64
2047-03-31,4.79,55102969.45,60715829.32,1053.13
2047-06-30,4.79,55586033.78,61245804.01,1060.69
2047-09-30,4.79,56070901.77,61780999.98,1067.44
2047-12-31,4.79,56558997.36,62320299.69,1072.69
2048-03-31,4.79,57053093.43,62866600.74,1080.03
2048-06-30,4.79,57552213.81,63418498.64,1087.64
2048-09-30,4.78,58057122.42,63976892.33,1094.4
2048-12-31,4.78,58569195.81,64539535.25,1099.62
2049-03-31,4.77,59081965.98,65105971.9,1107.01
2049-06-30,4.77,59599504.01,65676350.62,1114.65
2049-09-30,4.76,60121575.1,66250318.3,1121.44
2049-12-31,4.76,60649266.71,66830035.86,1126.67
2050-03-31,4.75,61181330.87,67414758.77,1134.15
2050-06-30,4.73,61717924.35,68005661.6,1141.9
2050-09-30,4.73,62260419.01,68601940.21,1148.81
2050-12-31,4.74,62807536.97,69203782.04,1154.14
